Product ID,Product Name,Product Category,Price,Quantity Sold,UOM,Region,Customer Segment,Sales Rep Name,Date of Sale
PV68R5J2TA,Gauze Sponges,Medical Devices,463.07,85,packs,"Washington, DC",Hospital,Christopher Flores,2024-08-07
ZO3YAR5IL5,Scalpel Blades,Surgical Supplies,387.87,12,pieces,"Chicago, IL",Clinic,John Ponce,2024-04-28
GUI82QCLS7,Disposable Gloves,Medical Devices,336.95,26,boxes,"Minneapolis, MN",Clinic,Thomas Silva,2024-09-30
DTZT3T8VVQ,"Syringes, 50ml",Surgical Supplies,254.99,17,boxes,"Boston, MA",Hospital,Megan Chang,2024-05-21
VNUKGGWXRD,"Syringes, 50ml",Medical Devices,291.24,66,boxes,"Los Angeles, CA",Clinic,William Sullivan,2024-05-16
157467TOZJ,Gauze Sponges,Medical Devices,310.83,45,packs,"Denver, CO",Clinic,Lisa Barrera,2024-03-24
346V8UQX97,Surgical Gowns,Surgical Supplies,62.93,17,packs,"Houston, TX",Hospital,Daniel Arnold,2024-05-19
2CWRW4I0EH,Diagnostic Test Strips,Medical Devices,493.69,52,boxes,"Miami, FL",Hospital,Aaron Snyder,2024-03-02
2L3DFZBU6T,Ibuprofen Tablets,Pharmaceuticals,84.81,47,packs,"Portland, OR",Clinic,Juan Campos,2024-05-11
YAWVUON9BA,Surgical Gloves,Surgical Supplies,88.39,50,boxes,"Washington, DC",Clinic,Rebecca Wagner,2024-01-28
8GEH27APDJ,Surgical Gowns,Surgical Supplies,450.39,75,packs,"Chicago, IL",Clinic,John Ponce,2023-12-22
HXMGSBD9HM,Suture Kits,Surgical Supplies,123.14,15,sets,"Orlando, FL",Hospital,Kyle Blair,2023-12-21
047GY8CY4M,Sterile Drapes,Surgical Supplies,185.93,53,packs,"Atlanta, GA",Hospital,Robert Green,2024-05-25
JVPGQOUSLM,Ibuprofen Tablets,Pharmaceuticals,87.62,18,packs,"Seattle, WA",Hospital,Linda West,2024-06-10
4JUA0MBKI8,IV Catheters,Surgical Supplies,396.85,24,pieces,"Houston, TX",Hospital,James Bradley,2024-04-05
MKM8WWZNOX,Atorvastatin Tablets,Pharmaceuticals,114.85,38,packs,"Minneapolis, MN",Clinic,Thomas Garcia,2023-11-15
AGMIWN5UOO,Vitamin D Capsules,Pharmaceuticals,28.83,23,bottles,"Los Angeles, CA",Clinic,Thomas Garcia,2024-07-17
ZPXBQJFSRU,Amoxicillin Capsules,Pharmaceuticals,176.57,12,bottles,"Phoenix, AZ",Clinic,Ryan Carr,2024-08-29
15RLQ353G9,Disposable Gloves,Medical Devices,209.0,44,boxes,"Orlando, FL",Hospital,Juan Campos,2024-09-15
WD09OYLHZA,Suture Kits,Surgical Supplies,191.15,56,sets,"San Francisco, CA",Hospital,Christine King,2024-08-17
3TDEX5K9D4,Surgical Masks,Surgical Supplies,385.32,21,boxes,"San Francisco, CA",Clinic,Christine King,2024-09-06
OCJQ25ESXM,Atorvastatin Tablets,Pharmaceuticals,43.13,9,packs,"Dallas, TX",Clinic,Jennifer Ross,2024-09-15
5KABYU876B,Surgical Gowns,Surgical Supplies,294.39,68,packs,"Washington, DC",Clinic,Jorge Trujillo,2024-04-28
0ZXZ6XNTHV,Amoxicillin Capsules,Pharmaceuticals,15.57,33,bottles,"Denver, CO",Clinic,Robert Green,2024-03-05
AFM2ZMWBF9,Surgical Masks,Surgical Supplies,223.47,38,boxes,"Portland, OR",Hospital,Aaron Snyder,2024-06-28
KOTKRIBGSC,Surgical Scalpels,Medical Devices,172.79,68,pieces,"Chicago, IL",Clinic,Kyle Blair,2024-01-22
OLOD6R49MR,Paracetamol Tablets,Pharmaceuticals,73.99,37,packs,"Orlando, FL",Clinic,Kyle Blair,2024-08-06
