business_unit,lead_contact,title,job_level,industry,team,channel,lead_product,sales_qualified
business_unit_1,Contact,Billing Coordinator,Staff-Level,Assisted Living Facility,team_1,Webinar,product_7,0
business_unit_1,Contact,Billing Specialist,Staff-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Lead,Executive Director,,Assisted Living Facility,team_1,MDR Meeting,product_40,0
business_unit_1,Contact,Billing,,Ambulatory Health Care Facilities,team_2,Inbound Call,product_1,0
business_unit_1,Lead,Billing Director,Director-Level,Physician,team_3,Webinar,product_27,0
business_unit_1,Contact,Director Revenue Cycle,Director-Level,Health System,team_4,Webinar,product_41,0
business_unit_1,Contact,Administrator,Director-Level,Skilled Nursing Facility,team_1,Demo Request,product_28,0
business_unit_1,Contact,Primary Contact,,Home Health,team_1,Inbound Call,product_37,1
business_unit_1,Contact,Office Manager,Staff-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_49,1
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Corporate Biller,Staff-Level,Home Health,team_1,Webinar,product_49,0
business_unit_1,Contact,Admissions Director,Director-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Administrative Staff,,Dental,team_3,Webinar,product_40,0
business_unit_1,Lead,,,Physician,team_3,Demo Request,product_4,0
business_unit_1,Lead,,,Software Vendor,team_2,PPC,product_7,0
business_unit_1,Lead,,,Hospital,team_5,Demo Request,product_57,1
business_unit_1,Lead,,,Other Ambulatory Provider,team_3,Demo Request,product_47,1
business_unit_1,Lead,"Senior Vice President, CFO",,Hospital,team_4,Content Syndication,product_7,0
business_unit_1,Lead,Senior Manager Revenue Cycle Operations,,Hospital,team_4,Content Syndication,product_7,0
business_unit_1,Contact,Outpatient Registration,,Hospital,team_4,Content Syndication,product_7,0
business_unit_1,Contact,Biller,Staff-Level,Home Health,team_1,Survey,product_40,0
business_unit_1,Lead,Nurse,,Home Health,team_1,Inbound Call,product_1,1
business_unit_1,Contact,Finance Manager,Manager-Level,Hospital,team_4,Survey,product_49,0
business_unit_1,Contact,Billing Manager,Manager-Level,Home Health,team_1,Webinar,product_49,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Billing manager,Manager-Level,Home Health,team_1,Webinar,product_49,0
business_unit_1,Contact,Corporate Billing Director,Director-Level,Skilled Nursing Facility,team_1,Webinar,product_7,0
business_unit_1,Contact,Doctor/Owner,C-Level,PT/OT/Rehab,team_3,Webinar,product_27,0
business_unit_1,Contact,Intake Coordinator,Staff-Level,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Business Office Manager,,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,billing,Staff-Level,DME & Medical Supplies,team_3,Survey,product_40,1
business_unit_1,Lead,,,Skilled Nursing Facility,team_6,PPC,product_3,0
business_unit_1,Lead,,,Other,team_3,Demo Request,product_24,1
business_unit_1,Contact,Chief Financial Officer,C-Level,Skilled Nursing Facility,team_1,Survey,product_7,0
business_unit_1,Contact,HEDIS Performance Improvement  Coordinator,Staff-Level,Health Plan,team_2,Survey,product_7,0
business_unit_1,Contact,Patient Access Manager,,Health System,team_4,Webinar,product_27,0
business_unit_1,Contact,Billing manager,,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Intake,,Home Health,team_1,Webinar,product_27,0
business_unit_1,Contact,Admissions Manager,,Ambulatory Health Care Facilities,team_1,Webinar,product_27,0
business_unit_1,Contact,Admissions Coordinator,Staff-Level,Hospital,team_4,Webinar,product_27,0
business_unit_1,Contact,"Director, Nursing",Director-Level,Skilled Nursing Facility,team_1,Survey,product_7,0
business_unit_1,Contact,Supervisor,Staff-Level,Hospice,team_1,Survey,product_5,0
business_unit_1,Contact,Office Manager,Manager-Level,Home Health,team_1,Survey,product_7,0
business_unit_1,Lead,,,Mental Health,team_3,Demo Request,product_4,1
business_unit_1,Contact,,,Revenue Cycle Management,team_2,Survey,product_7,0
business_unit_1,Contact,owner,C-Level,Mental Health,team_3,Survey,product_4,0
business_unit_1,Contact,Billing/ AR Manager,Manager-Level,Home Health,team_1,Survey,product_5,0
business_unit_1,Contact,Billing Clerk,Staff-Level,Mental Health,team_3,Survey,product_7,0
business_unit_1,Contact,Admin,Manager-Level,Ambulatory Health Care Facilities,team_3,Demo Request,product_1,0
business_unit_1,Lead,Biller,,Skilled Nursing Facility,team_1,Web Chat,product_1,1
business_unit_1,Contact,Admissions Coordinator,,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Contact,Business Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,Admin,,Physician,team_3,Inbound Call,product_1,0
business_unit_1,Contact,Office Manager,Manager-Level,Mental Health,team_3,MDR Meeting,product_7,1
business_unit_1,Contact,"Manager, Financial Operations",Manager-Level,Skilled Nursing Facility,team_5,Content Syndication,product_57,0
business_unit_1,Contact,Provider,C-Level,Chiropractic,team_3,Inbound Call,product_1,0
business_unit_1,Lead,LMFT,,Mental Health,team_3,Inbound Call,product_1,0
business_unit_1,Contact,Admin,Staff-Level,Mental Health,team_3,Inbound Call,product_41,1
business_unit_1,Contact,Business Office Manager,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,Director of IT Product Management,,Skilled Nursing Facility,team_6,Web Chat,product_35,1
business_unit_1,Lead,Hspal Pharmacy Resident,,Hospital,team_7,Webinar,product_46,0
business_unit_1,Contact,Billing,,Home Health,team_1,Inbound Call,product_1,0
business_unit_1,Lead,Admissions Coordinator,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_27,0
business_unit_1,Lead,CEO,,Skilled Nursing Facility,team_1,Webinar,product_5,0
business_unit_1,Lead,Nurse Consultant,Provider-Level,Skilled Nursing Facility,team_1,Webinar,product_5,0
business_unit_1,Contact,Regional Reimbursement Specialist,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_5,0
business_unit_1,Contact,Outpatient Coder,,Health System,team_4,Webinar,product_5,0
business_unit_1,Contact,Executive Administrator,Director-Level,Home Health,team_6,PPC,product_3,1
business_unit_1,Contact,Admissions Coordinator,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_40,0
business_unit_1,Contact,administrative Assistant,Staff-Level,Home Health,team_1,Webinar,product_40,0
business_unit_1,Contact,Administrative assistant,Staff-Level,Skilled Nursing Facility,team_1,Webinar,product_40,0
business_unit_1,Contact,Director of Communications,Director-Level,Physician,team_3,Webinar,product_40,0
business_unit_1,Contact,BUSINESS OFFICE MANAGER,Manager-Level,Skilled Nursing Facility,team_1,Webinar,product_40,0
business_unit_1,Contact,Business Office Manager,Manager-Level,Billing Services,team_1,Webinar,product_27,0
business_unit_1,Contact,office mgr,Manager-Level,Mental Health,team_3,Webinar,product_24,0
business_unit_1,Lead,"Vice President, Finance",,Physician,team_3,Content Syndication,product_49,0
business_unit_1,Contact,"Director, Finance & Administation Emergency Department",Director-Level,Other,team_4,Content Syndication,product_49,0
business_unit_1,Lead,Medical Billing Associate,,Ambulatory Health Care Facilities,team_3,Content Syndication,product_49,0
business_unit_1,Contact,"Director, Finance",Director-Level,Physician,team_3,Content Syndication,product_49,0
